Time,Centroid X,Centroid Y,Std Dev X,Std Dev Y
15:07:25,513,419,133.4541119636259,94.12226091632095
15:07:27,513,419,133.4541119636259,94.12226091632095
15:07:31,513,419,133.4541119636259,94.12226091632095
15:07:33,513,419,133.4541119636259,94.12226091632095
16:20:57,513,419,133.4541119636259,94.12226091632095
16:24:17,513,419,133.4541119636259,94.12226091632095
16:25:48,513,419,133.4541119636259,94.12226091632095
16:26:33,513,419,133.4541119636259,94.12226091632095
16:27:37,513,419,133.4541119636259,94.12226091632095
16:29:40,513,419,133.4541119636259,94.12226091632095
16:30:43,513,419,133.4541119636259,94.12226091632095
16:33:18,513,419,133.4541119636259,94.12226091632095
16:36:14,513,419,133.4541119636259,94.12226091632095
16:36:44,513,419,133.4541119636259,94.12226091632095
16:41:32,513,419,133.4541119636259,94.12226091632095
16:44:40,513,419,133.4541119636259,94.12226091632095
16:47:52,513,419,133.4541119636259,94.12226091632095
16:49:07,513,419,133.4541119636259,94.12226091632095
16:49:30,513,419,133.4541119636259,94.12226091632095
16:49:37,513,419,133.4541119636259,94.12226091632095
16:51:17,513,419,133.4541119636259,94.12226091632095
16:51:32,513,419,133.4541119636259,94.12226091632095
16:51:43,513,419,133.4541119636259,94.12226091632095
16:52:28,513,419,133.4541119636259,94.12226091632095
16:53:15,513,419,133.4541119636259,94.12226091632095
17:02:02,513,419,133.4541119636259,94.12226091632095
17:02:34,978,397,142.414886862294,100.38426171467319
17:02:42,513,419,133.4541119636259,94.12226091632095
17:02:44,978,397,142.414886862294,100.38426171467319
17:02:46,218,490,125.07197927593535,102.53292154230269
17:02:48,236,161,134.06714735534578,91.73330910852393
17:06:54,513,419,133.4541119636259,94.12226091632095
17:06:59,978,397,142.414886862294,100.38426171467319
17:07:01,218,490,125.07197927593535,102.53292154230269
17:07:04,236,161,134.06714735534578,91.73330910852393
